distance [m],Energy [eV]
0.0418,4158143.328322121
0.0419,4147257.283854026
0.042,4136351.3821785282
0.0421,4125425.505047577
0.0422,4114479.533015518
0.0423,4103513.345421719
0.0424,4092526.820371526
0.0425,4081519.834719715
0.0426,4070492.264049803
0.0427,4059443.982661626
0.0428,4048374.863544034
0.0429,4037284.778362474
0.043,4026173.5974382944
0.0431,4015041.1897239247
0.0432,4003887.42278797
0.0433,3992712.1627945206
0.0434,3981515.2744758483
0.0435,3970296.621118324
0.0436,3959056.064536768
0.0437,3947793.4650521046
0.0438,3936508.6814673557
0.0439,3925201.5710486076
0.044,3913871.9894977007
0.0441,3902519.7909265677
0.0442,3891144.8278382015
0.0443,3879746.9510960323
0.0444,3868326.009899923
0.0445,3856881.851761343
0.0446,3845414.322474398
0.0447,3833923.266090177
0.0448,3822408.524887778
0.0449,3810869.9393470054
0.045,3799307.348116082
0.0451,3787720.587987653
0.0452,3776109.4938623677
0.0453,3764473.898722398
0.0454,3752813.6335983267
0.0455,3741128.527534392
0.0456,3729418.407561172
0.0457,3717683.098655859
0.0458,3705922.4237124645
0.0459,3694136.20350292
0.046,3682324.256644797
0.0461,3670486.399561583
0.0462,3658622.4464462623
0.0463,3646732.2092240737
0.0464,3634815.497511129
0.0465,3622872.118576338
0.0466,3610901.8773000315
0.0467,3598904.576129262
0.0468,3586880.0150397383
0.0469,3574827.9914886453
0.047,3562748.300369955
0.0471,3550640.733969729
0.0472,3538505.081918947
0.0473,3526341.131144675
0.0474,3514148.66582123
0.0475,3501927.4673213568
0.0476,3489677.314161596
0.0477,3477397.981951802
0.0478,3465089.2433413444
0.0479,3452750.867962002
0.048,3440382.6223725067
0.0481,3427984.270002271
0.0482,3415555.571087652
0.0483,3403096.2826140192
0.0484,3390606.1582536823
0.0485,3378084.948300507
0.0486,3365532.3996053543
0.0487,3352948.2555057392
0.0488,3340332.255763748
0.0489,3327684.136488249
0.049,3315003.630066188
0.0491,3302290.46508811
0.0492,3289544.366269525
0.0493,3276765.054376427
0.0494,3263952.246141695
0.0495,3251105.654184818
0.0496,3238224.986925813
0.0497,3225309.9484991576
0.0498,3212360.2386643994
0.0499,3199375.552715944
0.05,3186355.5813862192
0.0501,3173300.0107521545
0.0502,3160208.522133378
0.0503,3147080.791993728
0.0504,3133916.491830347
0.0505,3120715.2880727123
0.0506,3107476.84196759
0.0507,3094200.8094673045
0.0508,3080886.841111386
0.0509,3067534.5819057324
0.051,3054143.671200949
0.0511,3040713.742560747
0.0512,3027244.4236361505
0.0513,3013735.336025615
0.0514,3000186.095137645
0.0515,2986596.3100476093
0.0516,2972965.5833520754
0.0517,2959293.5110107292
0.0518,2945579.6821982283
0.0519,2931823.679137015
0.052,2918025.0769301346
0.0521,2904183.443396534
0.0522,2890298.3388848393
0.0523,2876369.3160995534
0.0524,2862395.9199065575
0.0525,2848377.6871444094
0.0526,2834314.1464174315
0.0527,2820204.8178954218
0.0528,2806049.2130959826
0.0529,2791846.8346643667
0.053,2777597.1761483597
0.0531,2763299.721759088
0.0532,2748953.946129351
